Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
H Lift 46  ,Fluidi industriali,Lubrificazione,Altro,ENI,Oli minerali antiusura per circuiti idraulici degli ascensori,,,
Lamium 11 C  ,Fluidi industriali,Lubrificazione,Altro,ENI,"eni Lamium 11 C è un distillato petrolifero inodore, incolore, dearomatizzato e desolforato idoneo alla laminazione a freddo dell'alluminio. ",,,
Rolling AST 2,Fluidi industriali,Lubrificazione,Altro,ENI,"Eni Rolling AST 2 è un olio appositamente formulato per la laminazione a freddo dei nastri d’acciaio inossidabile su laminatoi Sendzimir. Particolarmente indicato per soddisfare in maniera ottimale le esigenze di finitura BA (Bright Annealed) di lamiere e nastri laminati che richiedono superfici ad elevata riflettività ed assenza di alonature. La viscosità del prodotto é stata definita in modo tale da limitare le perdite dovute alla volatilità ed assicurare al tempo stesso un buon effetto raffreddante, coadiuvato anche da un buon potere bagnante dato dalla presenza di costituenti polari. L'adesività bilanciata consente la formazione di un velo portante continuo e tenace di lubrificazione che garantisce un' adeguata riduzione del coefficiente di attrito senza provocare slittamento del nastro tra i cilindri di lavoro. Eni Rolling AST 2 è stato specificamente formulato con un olio base ed additivi che non danno origine a macchie o alonature su ogni tipo di laminato. Eccellente resistenza all’ossidazione, ottimo potere anticorrosivo, evidenziato dal superamento della prova di protezione ruggine anche in presenza di acqua salata. Eni Rolling AST 2 è compatibile con i materiali filtranti utilizzati per la filtrazione in fino.",,,
Antifreeze Bike S  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Eco Extra  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Eco Plus  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Extra   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Plus   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Ready   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Spezial   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Spezial 12++  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
